Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
1599,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1592,NA,M,45,Rita Wagner
1600,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1600,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1601,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1601,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1602,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1598,NA,C,47,Rita Wagner
1602,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1598,NA,C,47,Rita Wagner
1603,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1472,NA,A,45,Rita Wagner
1603,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1472,NA,A,45,Rita Wagner
1604,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1472,NA,B,1,Rita Wagner
1604,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1472,NA,B,1,Rita Wagner
1605,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1475,NA,CC,35,Rita Wagner
1605,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1475,NA,CC,35,Rita Wagner
1606,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1475,NA,F,8,Rita Wagner
1606,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1475,NA,F,8,Rita Wagner
1610,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1479,NA,M,1,Rita Wagner
1610,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1479,NA,M,1,Rita Wagner
1611,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1481,NA,DD,5,Rita Wagner
1611,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1481,NA,DD,5,Rita Wagner
1614,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1488,NA,H,1,Rita Wagner
1614,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1488,NA,H,1,Rita Wagner
1615,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1502,NA,DD,37,Rita Wagner
1615,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1502,NA,DD,37,Rita Wagner
1616,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1526,NA,A,14,Rita Wagner
1616,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1526,NA,A,14,Rita Wagner
1617,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1526,NA,DD,35,Rita Wagner
1617,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1526,NA,DD,35,Rita Wagner
1618,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1528,NA,B,3,Rita Wagner
1618,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1528,NA,B,3,Rita Wagner
1619,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1528,NA,DD,1,Rita Wagner
1619,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1528,NA,DD,1,Rita Wagner
1621,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1531,NA,B,47,Rita Wagner
1621,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1531,NA,B,47,Rita Wagner
1624,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1559,NA,BB,48,Rita Wagner
1624,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1559,NA,BB,48,Rita Wagner
1625,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1559,NA,S,1,Rita Wagner
1625,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1559,NA,S,1,Rita Wagner
1626,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1587,NA,W,1,Rita Wagner
1626,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1587,NA,W,1,Rita Wagner
1629,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1629,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1597,NA,DD,30,Rita Wagner
1630,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1630,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1597,NA,J,2,Rita Wagner
1631,2,2012,163,first_flowering,2,2012-06-11,MALE,PGTIS,220,1598,NA,C,47,Rita Wagner
1631,2,2012,163,last_flowering,3,2012-06-11,MALE,PGTIS,220,1598,NA,C,47,Rita Wagner
1632,1,1999,166,before_flowering,1,1999-06-15,FEMALE,PGTIS,223,1486,2,G,11,Rita Wagner
1632,2,1999,168,first_flowering,2,1999-06-17,FEMALE,PGTIS,223,1486,2,G,11,Rita Wagner
1632,2,1999,172,last_flowering,3,1999-06-21,FEMALE,PGTIS,223,1486,2,G,11,Rita Wagner
1632,3,1999,174,past_flowering,4,1999-06-23,FEMALE,PGTIS,223,1486,2,G,11,Rita Wagner
1634,1,1999,162,before_flowering,1,1999-06-11,FEMALE,PGTIS,223,1477,3,H,15,Rita Wagner
1634,2,1999,164,first_flowering,2,1999-06-13,FEMALE,PGTIS,223,1477,3,H,15,Rita Wagner
1634,2,1999,170,last_flowering,3,1999-06-19,FEMALE,PGTIS,223,1477,3,H,15,Rita Wagner
1634,3,1999,172,past_flowering,4,1999-06-21,FEMALE,PGTIS,223,1477,3,H,15,Rita Wagner
1635,1,1999,154,before_flowering,1,1999-06-03,FEMALE,PGTIS,223,1483,3,H,7,Rita Wagner
